Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
,,Patanjali-Navratna-Atta,Patanjali Navratna Atta2 kg            ,"<b>Product Information</b>Patanjali navratna atta is a mixture of whole wheat(60.64%) and multi grain mixture(39.36%). It is made form 9 different types of good quality grains which is having very good therapeutic as well as nutritive value. It  passes through different separator for absolute cleaning then a unique blend of carefully chosen ingredients to provide flour with an overall nutrition supply.
<b>Benefits</b>
<b>Ingredients</b>Whole Wheat (Gehun) (Triticum Aestivum) (60.64 %)Multigrains mixture (39.36%)Barley (Jau)Amaranth (Chaulai)Maize (Makka)Sorghum (Jwar)Gram(Chana)Water Caltrop (Singhara)Soybean (glycine max)Pearl Millet (Bajra) (pennistetum glaucum)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,2 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685081412400x300.jpg,,Patanjali Navratna Atta2 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Chana-Sattu,Patanjali Chana Sattu 500 g            ,"<b>Product Information</b>Chana sattu is traditionally used in various indian cuisine. Sattu is made with chana, chickpeas (chana) are rich in proteins. Roasting helps retain nutritive value,adding only to the shelf life of the flour. Patanjali sattu is 100% pure.
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>Best before 150 days from the date of manufacturing.",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1655724487400x300.jpg,,Patanjali Chana Sattu 500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Jawar-Atta,Patanjali Jawar Atta 500 g            ,"<b>Product Information</b>Jowar flour is made by grinding the small round grains of jowar (white millet). It can be consumed plain, made into porridge, roti and other dishes, or used in combination with other flours. It is preferred by the gluten intolerant, and is often cooked as a porridge to be eaten alongside other foods.
<b>Benefits</b>Improves digestion.It fights against free radicals.Boosts immunity.Improves heart health.It is gluten free.Rich source of protein.Controls blood sugar level.
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>Best before 90 days from manufacturing date.",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1619075478400x300.jpg,,Patanjali Jawar Atta 500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Missi-Atta,Patanjali Missi Atta1 kg            ,"<b>Product Information</b>Patanjali missi atta a unique combination of whole wheat, gram and barley. It is a special kind of atta which consists of three grains which are whole wheat, barley and gram. These are grounded uniformly for proper mixture of these grains which results in fine flour. It has lot of health benefits and provides nutrition.
<b>Benefits</b>
<b>Ingredients</b>Whole wheat  Flour ( 70 % ), Gram flour ( 29%) Dried fenugreek leaves (1%)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,1 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1589025155400x300.jpg,,Patanjali Missi Atta1 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Methi-Atta,Patanjali Methi Atta1 kg            ,"<b>Product Information</b>Patanjali methi atta is prepared by unique multiple grains i.e. wheat, gram, barley with methi seed to ensure to get natural goodness of additional spicy flavor of methi along with taste and nutrition. It is sourced from high-quality raw materials, processed hygienically and packed to retain the natural goodness.
<b>Benefits</b>1. Controls Blood Pressure.2. Reduces Cholesterol. 3. Controls of Diabetes. 4. Treats Gastrointestinal Issues.5. Treats Constipation.6. Heals Heartburn.
<b>Ingredients</b>Gram (39%.2%), Barley (39.2%),Whole wheat (19.6%),Methi Seed (2%)
<b>How to use</b>
<b>Other Product Info</b>Best before-4 months from manufacturing date.",Patanjali,,,TRUE,,[],Size,1 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1589025335400x300.jpg,,Patanjali Methi Atta1 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Maize-Atta,Patanjali Maize Atta1 kg            ,"<b>Product Information</b>Maize flour is made from corn, which is one of the world's largest crops. Maize flour is used to make bread, muffins, doughnuts, pancake mixes, infant foods, biscuits, wafers, breakfast cereals and breading, and as a filler, binder and carrier in meat products. Corn flour is essentially dried corn that has been grounded into soft, fine particles.
<b>Benefits</b>Rich in potassium and magnesium.Rich in vit A and B6.Improves metabolism.
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,1 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1686220006400x300.jpg,,Patanjali Maize Atta1 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Ragi-Atta,Patanjali Ragi Atta1 kg            ,"<b>Product Information</b>Ragi, scientifically called eleusine coracana. Ragi flour is a primarily a powder food, made out of ragi grain. Ragi confers valuable health benefits such as enhancing digestion, reducing the risk of heart disease, slowing down ageing and managing diabetes. 
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,1 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1684987237400x300.jpg,,Patanjali Ragi Atta1 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Jau-Atta,Patanjali Jau Atta 500 g            ,"<b>Product Information</b>Patanjali jau atta also known as barley flour is the best in quality, made from organically grown barley grains, no preservative, no artificial colour, free of harmful chemicals or pesticides. Barley is lower in fat and calories, but higher in dietary fibre and certain trace minerals.
<b>Benefits</b>Improves digestion.Minerals and Vitamins.Boosts Immunity.Good Source of Antioxidants.Helps Manage Diabetes.
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>Best before 90 days from manufacturing date.",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1684923115400x300.jpg,,Patanjali Jau Atta 500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Maida,Patanjali Maida1 kg            ,"<b>Product Information</b>Patanjali brings for you healthy and pure refined wheat flour (maida). Cook wholesome puris, naan, samosas, cakes, biscuits etc. And make every occasion a special one.
<b>Benefits</b>
<b>Ingredients</b>Whole WheatAllergen Information : Contains Wheat 
<b>How to use</b>
<b>Other Product Info</b>Best before four months from the date of manufacturing.",Patanjali,,,TRUE,,[],Size,1 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685526189400x300.jpg,,Patanjali Maida1 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Besan,Patanjali Besan500 g            ,"<b>Product Information</b>Patanjali Besan is prepared by the high quality of grams which undergo different test to have that value which matches the patanjali's specification. It is gluten-free. These grams are free of insects, damaged gram and dust free. Patanjali Besan is rich in fiber, iron, potassium, manganese, copper, zinc, phosphorus, magnesium, folate, vitamin B-6 and thiamine with very high content of protein.
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1684560105400x300.jpg,,Patanjali Besan500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Tomato-Ketchup-with-Onion-&-Garlic,Patanjali Tomato Ketchup with Onion & Garlic 500 g            ,"<b>Product Information</b>A yummy preparation of tomatoes with natural spicy flavour. The assortment of different natural spicy flavours creates a good experience that you can enjoy veggie appetizer in so many different ways to start the meal. It is so tasty that you would want to try it on paranthas, snacks, pakoras etc.
<b>Benefits</b>
<b>Ingredients</b>Water,Tomato paste (28%), Sugar,Mixed spices,Iodized salt,Acidity regulator (ins 260),Garlic powder (0.2%),Stabilizers (INS 1422, INS 415), Preservative (INS 211).
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1684836451400x300.jpg,,Patanjali Tomato Ketchup with Onion & Garlic 500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Tomato-Ketchup-W/o-Onion-Garlic-(B),Patanjali Tomato Ketchup W/o Onion Garlic (B)200 g            ,"<b>Product Information</b>A yummy preparation of tomatoes with natural spicy flavour. The assortment of different natural spicy flavours creates a good experience that you can enjoy veggie appetizer in so many different ways to start the meal. It is so tasty that you would want to try it on paranthas, snacks, pakoras etc.
<b>Benefits</b>
<b>Ingredients</b>Sugar,Tomato paste (28%),Iodized salt,Mixed spices,Acidity regulator (INS 260),Stabilizers (INS 1422, INS 415),Preservative (INS 211),Nature identical flavoring substances.
<b>How to use</b>
<b>Other Product Info</b>Best before 12 months from manufacturing date.",Patanjali,,,TRUE,,[],Size,200 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1621665511400x300.jpg,,Patanjali Tomato Ketchup W/o Onion Garlic (B)200 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Tomato-Ketchup-W/o-Onion-Garlic,Patanjali Tomato Ketchup W/o Onion Garlic950 ml            ,"<b>Product Information</b>A yummy preparation of tomatoes with natural spicy flavour. The assortment of different natural spicy flavours creates a good experience that you can enjoy veggie appetizer in so many different ways to start the meal. It is so tasty that you would want to try it on paranthas, snacks, pakoras etc.
<b>Benefits</b>
<b>Ingredients</b>Sugar,Tomato paste (28%),Iodized salt,Mixed spices,Acidity regulator (INS 260),Stabilizers (INS 1422, INS 415),Preservative (INS 211),Nature identical flavoring substances.
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,950 ml,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1684845083400x300.jpg,,Patanjali Tomato Ketchup W/o Onion Garlic950 ml            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Tomato-Ketchup-W.-Onion-Garlic,Patanjali Tomato Ketchup W. Onion Garlic450 ml            ,"<b>Product Information</b>A yummy preparation of tomatoes with natural spicy flavour. The assortment of different natural spicy flavours creates a good experience that you can enjoy veggie appetizer in so many different ways to start the meal. It is so tasty that you would want to try it on paranthas, snacks, pakoras etc.
<b>Benefits</b>
<b>Ingredients</b>Water,Tomato paste (28%), Sugar,Mixed spices,Iodized salt,Acidity regulator (ins 260),Garlic powder (0.2%),Stabilizers (INS 1422, INS 415), Preservative (INS 211).
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,450 ml,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1684901488400x300.jpg,,Patanjali Tomato Ketchup W. Onion Garlic450 ml            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Hot-Hill-Cherry-Pepper-Sauce,Patanjali Hot Hill Cherry Pepper Sauce60 g            ,"<b>Product Information</b>Patanjali Hot hill Cherry pepper Sauce adds flavour & visual appeal to a dish.
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,60 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1616671700400x300.jpg,,Patanjali Hot Hill Cherry Pepper Sauce60 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Khatta-Mitha-Nimboo-Chutney,Patanjali Khatta Mitha Nimboo Chutney250 g            ,"<b>Product Information</b>Patanjali khatta meetha neembu chutney is made from best quality fresh lemons. Lemons are a good source of vitamin C. 
<b>Benefits</b>
<b>Ingredients</b>Sugar, Lemon pulp (32%), Mixed spices, lodized salt
<b>How to use</b>
<b>Other Product Info</b>Best before 360 Days from Manufacturing.",Patanjali,,,TRUE,,[],Size,250 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1686045389400x300.jpg,,Patanjali Khatta Mitha Nimboo Chutney250 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Ginger-Pickle,Patanjali Ginger Pickle500 g            ,"<b>Product Information</b>Patanjali Ginger Pickle has got the goodness of pure Ginger. Pickle from Patanjali's another additional good thing since it is a brand that offers products typically based on the principles of Ayurveda. 
<b>Benefits</b>
<b>Ingredients</b>Ginger (68.27%), Mustard Oil, Iodized Salt, Mixed Spices (Fennel Seeds, Yellow Mustard, Turmeric Powder, Red Chilli Powder, Fenugreek, Cumin Seeds Powder, Kalonji, Asafoetida, Cinnamon Powder and Big cardamom powder), Preservative (INS 260, INS 211)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1687414588400x300.jpg,,Patanjali Ginger Pickle500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Lemon-Pickle,Patanjali Lemon Pickle500 g            ,"<b>Product Information</b>Patanjali Lemon Pickle has got the goodness of pure Lemon fruit that is high in the source of vitamin C. Pickle from Patanjali is another additional good thing, since it is a brand that offers products based on wellness and health foods.  Lemon is one of the popular fruits essential for keeping the digestive system healthy.
<b>Benefits</b>
<b>Ingredients</b>Lemon (64.57%), Mustard oil, Iodized salt, Mixed Spices (Fennel, Turmeric powder, Yellow mustard, Red chilli powder, Carom seeds, Cumin Powder, Cinnamon powder, Black pepper powder, Asafoetida), Acidity regulator (INS 260), Preservative (INS 211)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685792521400x300.jpg,,Patanjali Lemon Pickle500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Instant-Wheat-Dalia,Patanjali Instant Wheat Dalia 250 g            ,"<b>Product Information</b>Give a perfect start to your day with Patanjali instant wheat dalia. Not just a healthy breakfast option, it can be taken as a snack or in between your meals. It is a wholesome meal for your family. It is a perfect and tasty ready to cook and serve choice. 
<b>Benefits</b>
<b>Ingredients</b>Wheat grit (70%), Sugar, Cereal Extract, Honey, Glucose powder, Antioxidant (INS 320)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,250 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1590737472400x300.jpg,,Patanjali Instant Wheat Dalia 250 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Roasted-Vermicelli, Patanjali Roasted Vermicelli400 g            ,"<b>Product Information</b>Patanjali Roasted Vermicelli is a traditional delicacy and is extruded from Hard Wheat Flour and roasted to the desired taste.
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,400 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1684840592400x300.jpg,, Patanjali Roasted Vermicelli400 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
